,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePricePerGLA
count,2579.0,2579.0,2579.0,2579.0,2579,2117.0,2579.0,2579,168,2579,2579,2579,2579,2579,2579,2579,2579,2579,2579,2579.0,2579.0,2579.0,2579.0,2579,2579,2579,2579,2565,2565.0,2579,2579,2579,2510,2510,2508,2510,2578.0,2509,2578.0,2578.0,2578.0,2579,2579,2579,2578,2579.0,2579.0,2579.0,2577.0,2577.0,2579.0,2579.0,2579.0,2579.0,2579,2579.0,2579,2579.0,1338,2452,2450.0,2450,2578.0,2578.0,2450,2450,2579,2579.0,2579.0,2579.0,2579.0,2579.0,2579.0,9,525,97,2579.0,2579.0,2579.0,2579,2579,2579.0
unique,,,,,7,,,2,2,4,4,2,5,3,28,9,8,5,8,,,,,6,7,15,16,4,,4,5,6,5,5,4,6,,6,,,,6,5,2,4,,,,,,,,,,5,,7,,5,6,,3,,,5,5,3,,,,,,,4,4,4,,,,10,6,
top,,,,,RL,,,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,,,,,Gable,CompShg,VinylSd,VinylSd,None,,TA,TA,CBlock,TA,TA,No,GLQ,,Unf,,,,GasA,Ex,Y,SBrkr,,,,,,,,,,TA,,Typ,,Gd,Attchd,,Unf,,,TA,TA,Y,,,,,,,TA,MnPrv,Shed,,,,WD ,Normal,
freq,,,,,2007,,,2569,105,1640,2337,2577,1885,2458,410,2227,2554,2138,1288,,,,,2058,2543,868,856,1558,,1635,2231,1139,1166,2315,1708,753,,2179,,,,2539,1293,2416,2364,,,,,,,,,,1357,,2398,,618,1526,,1111,,,2311,2355,2335,,,,,,,3,301,88,,,,2391,2413,
mean,714754590.9511439,1485.9503683598293,178053.44241954247,57.69484296238852,,68.51062824752007,10119.26948429624,,,,,,,,,,,,,6.046529662659946,5.618456766188445,1970.3257076386196,1983.7650252035673,,,,,,99.34697855750487,,,,,,,,444.28510473235065,,53.259503491078355,539.1947245927075,1036.7393328161365,,,,,1144.9829391236913,336.72120977122916,4.246219464908879,0.43538998835855647,0.06208769887466046,1.5509887553315238,0.3780535091120589,2.850717332299341,1.0403257076386196,,6.386971694455215,,0.6041101202016286,,,1976.9971428571428,,1.747866563227308,466.86462373933284,,,,95.95696006203956,46.10314075222955,23.22334238076774,2.5122140364482357,16.16285381930981,1.6626599457153937,,,,48.750290810391625,6.152384645211322,2007.8390849166344,,,120.90703529569672
std,188660317.29198784,488.7237681019985,75044.9832071625,42.81013725269762,,22.83986138080395,8128.3898816051615,,,,,,,,,,,,,1.3677001643340276,1.1222002413401444,29.7194693794376,20.483428232265478,,,,,,175.89568555092308,,,,,,,,429.40701523093793,,174.45460596654232,425.2558180291682,418.6280829103381,,,,,376.03165835791197,424.12490409157994,44.41213573865679,0.5188573031511289,0.24455718648447256,0.5458230483464789,0.4991839067675393,0.822851994317355,0.20258810915916103,,1.5354363794892785,,0.6486832257402768,,,24.653507225913703,,0.7386742222097262,207.51407164715712,,,,129.06321215510906,66.06723825571146,64.11862719438759,25.29879139612469,56.803806736979624,30.34526248136765,,,,498.820852118917,2.669913457803709,1.3120880143830427,,,30.644321902532504
min,526301100.0,334.0,12789.0,20.0,,21.0,1300.0,,,,,,,,,,,,,1.0,1.0,1872.0,1950.0,,,,,,0.0,,,,,,,,0.0,,0.0,0.0,0.0,,,,,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,1895.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,2006.0,,,15.37139423076923
25%,531363035.0,1112.0,129950.0,20.0,,57.0,7406.5,,,,,,,,,,,,,5.0,5.0,1953.0,1965.0,,,,,,0.0,,,,,,,,0.0,,0.0,215.0,792.0,,,,,871.5,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,,5.0,,0.0,,,1960.0,,1.0,318.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,4.0,2007.0,,,100.36364485722086
50%,535454150.0,1436.0,159900.0,50.0,,68.0,9382.0,,,,,,,,,,,,,6.0,5.0,1972.0,1992.0,,,,,,0.0,,,,,,,,384.0,,0.0,448.0,979.5,,,,,1070.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,,6.0,,1.0,,,1978.0,,2.0,474.0,,,,0.0,26.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2008.0,,,119.65811965811966
75%,907180610.0,1733.0,209750.0,70.0,,80.0,11485.5,,,,,,,,,,,,,7.0,6.0,1999.0,2003.0,,,,,,158.0,,,,,,,,732.0,,0.0,784.0,1266.75,,,,,1364.0,703.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,,7.0,,1.0,,,2000.0,,2.0,576.0,,,,168.0,68.0,0.0,0.0,0.0,0.0,,,,0.0,8.0,2009.0,,,138.88888888888889
max,1007100110.0,4676.0,755000.0,190.0,,313.0,215245.0,,,,,,,,,,,,,10.0,9.0,2010.0,2010.0,,,,,,1600.0,,,,,,,,2288.0,,1526.0,2336.0,3206.0,,,,,3820.0,1872.0,1064.0,3.0,2.0,4.0,2.0,6.0,3.0,,13.0,,4.0,,,2010.0,,5.0,1488.0,,,,1424.0,742.0,1012.0,508.0,576.0,800.0,,,,15500.0,12.0,2010.0,,,276.2508809020437
